kana,unicode,svgFile,pngFile,strokeCount
嵯,0x5d6f,05d6f.svg,05d6f.png,13
嵳,0x5d73,05d73.svg,05d73.png,13
嵶,0x5d76,05d76.svg,05d76.png,13
嶂,0x5d82,05d82.svg,05d82.png,14
嶄,0x5d84,05d84.svg,05d84.png,14
嶇,0x5d87,05d87.svg,05d87.png,14
嶋,0x5d8b,05d8b.svg,05d8b.png,14
嶌,0x5d8c,05d8c.svg,05d8c.png,14
嶐,0x5d90,05d90.svg,05d90.png,15
嶝,0x5d9d,05d9d.svg,05d9d.png,15
嶢,0x5da2,05da2.svg,05da2.png,15
嶬,0x5dac,05dac.svg,05dac.png,16
嶮,0x5dae,05dae.svg,05dae.png,16
嶷,0x5db7,05db7.svg,05db7.png,17
嶺,0x5dba,05dba.svg,05dba.png,17
嶼,0x5dbc,05dbc.svg,05dbc.png,16
嶽,0x5dbd,05dbd.svg,05dbd.png,17
巉,0x5dc9,05dc9.svg,05dc9.png,20
巌,0x5dcc,05dcc.svg,05dcc.png,20
巍,0x5dcd,05dcd.svg,05dcd.png,21
巒,0x5dd2,05dd2.svg,05dd2.png,22
巓,0x5dd3,05dd3.svg,05dd3.png,22
巖,0x5dd6,05dd6.svg,05dd6.png,23
巛,0x5ddb,05ddb.svg,05ddb.png,3
川,0x5ddd,05ddd.svg,05ddd.png,3
州,0x5dde,05dde.svg,05dde.png,6
巡,0x5de1,05de1.svg,05de1.png,6
巣,0x5de3,05de3.svg,05de3.png,11
工,0x5de5,05de5.svg,05de5.png,3
左,0x5de6,05de6.svg,05de6.png,5
巧,0x5de7,05de7.svg,05de7.png,5
巨,0x5de8,05de8.svg,05de8.png,5
巫,0x5deb,05deb.svg,05deb.png,7
差,0x5dee,05dee.svg,05dee.png,10
己,0x5df1,05df1.svg,05df1.png,3
已,0x5df2,05df2.svg,05df2.png,3
巳,0x5df3,05df3.svg,05df3.png,3
巴,0x5df4,05df4.svg,05df4.png,4
巵,0x5df5,05df5.svg,05df5.png,7
巷,0x5df7,05df7.svg,05df7.png,9
巻,0x5dfb,05dfb.svg,05dfb.png,9
巽,0x5dfd,05dfd.svg,05dfd.png,12
巾,0x5dfe,05dfe.svg,05dfe.png,3
市,0x5e02,05e02.svg,05e02.png,5
布,0x5e03,05e03.svg,05e03.png,5
帆,0x5e06,05e06.svg,05e06.png,6
帋,0x5e0b,05e0b.svg,05e0b.png,7
希,0x5e0c,05e0c.svg,05e0c.png,7
帑,0x5e11,05e11.svg,05e11.png,8
帖,0x5e16,05e16.svg,05e16.png,8
帙,0x5e19,05e19.svg,05e19.png,8
帚,0x5e1a,05e1a.svg,05e1a.png,8
帛,0x5e1b,05e1b.svg,05e1b.png,8
